,Subject,For Production,,,
Year,,Student's Manual,Teacher's Manual,Workbook,Observations
Year 1,Animal Nature Sciences,TRUE,TRUE,TRUE,
Year 1,Art & Design,TRUE,TRUE,TRUE,
Year 1,Computing & Robotics,TRUE,TRUE,FALSE,
Year 1,Crafts,FALSE,FALSE,FALSE,
Year 1,English,TRUE,TRUE,TRUE,
Year 1,Global Perspectives,TRUE,TRUE,TRUE,
Year 1,Mathematics,TRUE,TRUE,TRUE,
Year 1,Music & Acting,FALSE,FALSE,FALSE,
Year 1,Physical Education/Gym,FALSE,FALSE,FALSE,
Year 1,Portuguese 1st,TRUE,TRUE,TRUE,
Year 1,Portuguese 2nd,TRUE,TRUE,TRUE,
Year 1,Science & Lab,TRUE,TRUE,TRUE,
Total,12,9,9,8,26
Year 2,Animal Nature Sciences,TRUE,TRUE,TRUE,
Year 2,Art & Design,TRUE,TRUE,TRUE,
Year 2,Computing & Robotics,TRUE,TRUE,FALSE,
Year 2,Crafts,FALSE,FALSE,FALSE,
Year 2,English,TRUE,TRUE,TRUE,
Year 2,Global Perspectives,TRUE,TRUE,TRUE,
Year 2,Mathematics,TRUE,TRUE,TRUE,
Year 2,Music & Acting,FALSE,FALSE,FALSE,
Year 2,Physical Education/Gym,FALSE,FALSE,FALSE,
Year 2,Portuguese 1st,TRUE,TRUE,TRUE,
Year 2,Portuguese 2nd,TRUE,TRUE,TRUE,
Year 2,Science & Lab,TRUE,TRUE,TRUE,
Total,14,10,10,9,29
Year 3,Animal Nature Sciences,TRUE,TRUE,TRUE,
Year 3,Art & Design,TRUE,TRUE,TRUE,
Year 3,Computing & Robotics,TRUE,TRUE,FALSE,
Year 3,Crafts,FALSE,FALSE,FALSE,
Year 3,English,TRUE,TRUE,TRUE,
Year 3,Global Perspectives,TRUE,TRUE,TRUE,
Year 3,Mathematics,TRUE,TRUE,TRUE,
Year 3,Music & Acting,FALSE,FALSE,FALSE,
Year 3,Physical Education/Gym,FALSE,FALSE,FALSE,
Year 3,Portuguese 1st,TRUE,TRUE,TRUE,
Year 3,Portuguese 2nd,TRUE,TRUE,TRUE,
