Year,Subject
Year 1,Art & Design
Year 1,Computing & Robotics
Year 1,English
Year 1,Global Perspectives
Year 1,Mathematics
Year 1,Music & Drama
Year 1,Physical Education
Year 1,Science
,
Year 2,Art & Design
Year 2,Computing & Robotics
Year 2,English
Year 2,Global Perspectives
Year 2,Mathematics
Year 2,Music & Drama
Year 2,Physical Education
Year 2,Science 
,
Year 3,Art & Design
Year 3,Computing & Robotics
Year 3,English
Year 3,Global Perspectives
Year 3,Mathematics
Year 3,Music & Drama
Year 3,Physical Education
Year 3,Science 
,
Year 4,Art & Design
Year 4,Computing & Robotics
Year 4,English
Year 4,Global Perspectives
Year 4,Mathematics
Year 4,Music & Drama
Year 4,Physical Education
Year 4,Portuguese 
Year 4,Science 
,
Year 5,Art & Design
Year 5,Computing & Robotics
Year 5,English
Year 5,Global Perspectives
Year 5,Mathematics
Year 5,Music & Drama
Year 5,Physical Education
Year 5,Portuguese 
Year 5,Science 
,
Year 6,Art & Design
Year 6,Computing & Robotics
Year 6,English
Year 6,Global Perspectives
Year 6,Mathematics
Year 6,Music & Drama
Year 6,Physical Education
Year 6,Portuguese 
Year 6,Science 
,
Year 7,Art & Design
Year 7,English
Year 7,Humanities 
Year 7,Computing & Robotics
Year 7,Mathematics
Year 7,Music and Drama
Year 7,Physical Education
Year 7,Portuguese 
Year 7,Portuguese 2nd
Year 7,Science
Year 7,Spanish
,
Year 8,Art & Design
Year 8,English
Year 8,Humanities 
Year 8,Computing & Robotics
Year 8,Mathematics
Year 8,Music and Drama
Year 8,Physical Education
Year 8,Portuguese 
Year 8,Portuguese 2nd
Year 8,Science
Year 8,Spanish
,
Year 9,Art & Design
Year 9,English
Year 9,Humanities 
Year 9,Computing & Robotics
Year 9,Mathematics
Year 9,Music and Drama
Year 9,Physical Education
Year 9,Portuguese  (IGCSE)
Year 9,Portuguese 2nd
Year 9,Science
Year 9,Spanish
,
Year 10,Portuguese  (IGCSE)
Year 10,Physical Education
Year 11,Portuguese  (IGCSE)
Year 11,Physical Education
Year 12,Physical Education
Year 13,Physical Education
