section_ids/name,section_ids/chapter_ids/name
"Unidade 0 - Avaliação Diagnóstica
",Revisões
"Unidade 1 - Textos dos Media
",Oralidade: compreender textos orais e destacar informação essencial
,"Leitura: Reportagem, Entrevista, Autobiografia, Comentário, Texto de opinião, Carta de apresentação"
,Educação literária: interpretar textos em função do género literário
,"Escrita: Autobiografia, Texto de opinião, Carta de apresentação"
,"Gramática: Identificar a classe de palavras, Distinguir as seguintes subclasses de palavras; Quantificador universal e existencial"
Unidade 2 - Texto Narrativo - Autores Portugueses,
Unidade 2.1 - Texto Narrativo - Miguel Torga - Bichos,Oralidade: planificar textos orais e exposição oral de temas
,"Leitura: narrativas (Elementos do texto narrativo:Narrador, espaço, tempo, personagens, ação): Diario, memórias"
,Educação literária: leitura integral de narrativas de autores portugueses
,"Escrita: Texto narrativo: diario, memórias, comentário"
,Gramática: Relações de sentido entre palavras; Modo conjuntivo em frases complexas
Unidade 2.2 - Texto Narrativo - Jorge de Sena - Homenagem ao Papagaio Verde ,Oralidade: planificar textos orais e exposição oral de temas
,"Leitura: narrativas (Elementos do texto narrativo:Narrador, espaço, tempo, personagens, ação): Diario, memórias"
,Educação literária: leitura integral de narrativas de autores portugueses
,"Escrita: Texto narrativo: diario, memórias, comentário"
,Gramática: Relações de sentido entre palavras; Modo conjuntivo em frases complexas
Unidade 2.3 - Texto Narrativo - Mário Dionísio - Assobiando à vontade ,Oralidade: planificar textos orais e exposição oral de temas
,"Leitura: narrativas (Elementos do texto narrativo:Narrador, espaço, tempo, personagens, ação): Diario, memórias"
,Educação literária: leitura integral de narrativas de autores portugueses
,"Escrita: Texto narrativo: diario, memórias, comentário"
,Gramática: Relações de sentido entre palavras; Modo conjuntivo em frases complexas
Unidade 2.4 - Texto Narrativo - Autores de países de língua oficial portuguesa,
Unidade 2.5 - Texto Narrativo - Jorge Amado — O Gato Malhado e a Andorinha Sinhá: uma história de amor,Oralidade: planificar textos orais e exposição oral de temas
,"Leitura: narrativas (Elementos do texto narrativo:Narrador, espaço, tempo, personagens, ação): Diario, memórias"
,Educação literária: leitura integral de narrativas de autores portugueses
,"Escrita: Texto narrativo: diario, memórias, comentário"
,Gramática: Relações de sentido entre palavras; Modo conjuntivo em frases complexas
Unidade 2.6 - Texto Narrativo - Jorge Amado — Mia Couto — Contos do Nascer da Terra,Oralidade: planificar textos orais e exposição oral de temas
,"Leitura: narrativas (Elementos do texto narrativo:Narrador, espaço, tempo, personagens, ação): Diario, memórias"
,Educação literária: leitura integral de narrativas de autores portugueses
,"Escrita: Texto narrativo: diario, memórias, comentário"
,Gramática: Relações de sentido entre palavras; Modo conjuntivo em frases complexas
Unidade 2.7 - Texto Narrativo - Autores estrangeiros,
Unidade 2.8 - Texto Narrativo - Anne Frank — O Diário de Anne Frank,Oralidade: planificar textos orais e exposição oral de temas
,"Leitura: narrativas (Elementos do texto narrativo:Narrador, espaço, tempo, personagens, ação): Diario, memórias"
,Educação literária: leitura integral de narrativas de autores portugueses
,"Escrita: Texto narrativo: diario, memórias, comentário"
,Gramática: Relações de sentido entre palavras; Modo conjuntivo em frases complexas
Unidade 2.9 - Texto Narrativo - J. R. R. Tolkien — O Hobbit,Oralidade: planificar textos orais e exposição oral de temas
,"Leitura: narrativas (Elementos do texto narrativo:Narrador, espaço, tempo, personagens, ação): Diario, memórias"
,Educação literária: leitura integral de narrativas de autores portugueses
,"Escrita: Texto narrativo: diario, memórias, comentário"
,Gramática: Relações de sentido entre palavras; Modo conjuntivo em frases complexas
"Unidade 3 - Texto Poético - Luís de Camões - Descalça vai para a fonte
",Leitura: Caracteristicas Texto Poético
,Educação literária: Compreender o(s) tema(s) e as ideias centrais do poemas; elementos do texto poético; recursos expressivos
,"Escrita: comentário, opinião, resumo"
,Gramática: orações subordinadas: frase ativa e passiva; Reconhecer traços da variação da língua portuguesa de natureza social. • Empregar formas linguísticas adequadas à expressão de opinião e à assunção de compromissos.
"Unidade 3.1 - Texto Poético - Luís de Camões - Amor é fogo que arde sem se ver
",Leitura: Caracteristicas Texto Poético
,Educação literária: Compreender o(s) tema(s) e as ideias centrais do poemas; elementos do texto poético; recursos expressivos
,"Escrita: comentário, opinião, resumo"
,Gramática: orações subordinadas: frase ativa e passiva; Reconhecer traços da variação da língua portuguesa de natureza social. • Empregar formas linguísticas adequadas à expressão de opinião e à assunção de compromissos.
"Unidade 3.2 - Texto Poético - Almeida Garret - Barca Bela - Seus olhos
",Educação literária: Compreender o(s) tema(s) e as ideias centrais do poemas; elementos do texto poético; recursos expressivos
,"Escrita: comentário, opinião, resumo"
,Gramática: orações subordinadas: frase ativa e passiva; Reconhecer traços da variação da língua portuguesa de natureza social. • Empregar formas linguísticas adequadas à expressão de opinião e à assunção de compromissos.
Unidade 4 - Texto Dramático,
Unidade 4.1 - Texto Dramático - António Gedeão - História Breve da Lua,"Leitura: Caracteristicas Texto Dramático (ato, cena, fala, indicações cénicas...)"
,Educação literária: leitura integral de textos dramáticos
,"Escrita: resumo, texto dramático"
,"Gramática: Funções sintaticas, orações subordinadas"
Unidade 4.2 - Texto Dramático - Luísa Costa Gomes - Vanessa Vai à Luta,"Leitura: Caracteristicas Texto Dramático (ato, cena, fala, indicações cénicas...)"
,Educação literária: leitura integral de textos dramáticos
,"Escrita: resumo, texto dramático"
,"Gramática: Funções sintaticas, orações subordinadas"
Unidade 5 - Revisões Anuais,Revisões
Unidade 6 - Avaliação,Testes / Trabalhos de casa / Correção
Unidade 7 - Atividades extra,Atividades
